IdVenta,FechaVenta,CantidadVenta,MontoVenta,Descuento,MontoFinalVenta,fk_producto,fk_cliente,fk_sucursal
4,02/11/2022,42.73,42.68,31.67,29.16,33,172,65
5,12/11/2022,81.25,2.44,40.11,1.46,65,886,88
6,23/12/2022,68.65,66.97,91.74,5.53,19,679,27
7,11/12/2022,1.65,92.15,48.92,47.07,7,565,97
8,25/10/2022,59.06,81.24,41.13,47.83,30,842,38
9,08/01/2023,6.2,4.33,46.27,2.33,85,47,103
10,28/12/2022,85.0,58.88,11.8,51.93,101,285,42
11,12/11/2022,86.39,97.97,12.24,85.98,76,442,37
12,15/11/2022,30.16,27.31,14.32,23.4,35,325,1
13,24/11/2022,94.74,45.26,26.32,33.35,91,904,39
14,02/01/2023,60.8,46.2,53.87,21.31,65,1000,66
15,05/11/2022,16.82,58.46,96.12,2.27,89,439,64
16,28/12/2022,51.52,37.67,33.31,25.12,66,688,44
18,13/12/2022,20.5,1.77,14.76,1.51,31,72,90
19,25/11/2022,15.52,37.44,45.97,20.23,50,15,100
20,27/10/2022,2.07,79.4,98.68,1.05,66,293,23
21,26/10/2022,77.92,6.37,6.87,5.93,98,822,10
22,24/10/2022,78.35,20.63,26.36,15.19,73,123,35
24,21/11/2022,34.91,50.45,6.1,47.37,57,108,101
25,17/12/2022,16.24,60.72,31.01,41.89,2,198,100
26,02/12/2022,44.2,16.16,20.37,12.87,66,704,8
27,04/01/2023,3.81,41.19,71.34,11.81,35,615,96
28,06/11/2022,34.57,53.43,43.65,30.11,8,10,75
29,12/11/2022,61.69,86.32,86.18,11.93,43,895,21
31,07/11/2022,41.84,11.97,29.57,8.43,83,509,83
32,06/11/2022,38.39,61.42,84.97,9.23,69,737,46
33,20/12/2022,57.42,18.72,39.68,11.29,41,794,59
34,28/10/2022,93.95,85.4,18.16,69.89,32,9,50
35,19/12/2022,35.08,45.36,24.43,34.28,41,316,48
36,07/11/2022,31.11,15.79,6.97,14.69,85,139,82
37,21/12/2022,31.23,38.55,48.57,19.83,9,50,97
38,01/12/2022,1.95,85.72,57.43,36.49,7,913,6
39,14/12/2022,69.09,12.18,36.67,7.71,15,923,62
40,22/11/2022,63.43,28.37,65.29,9.85,55,23,12
41,29/11/2022,28.63,58.02,8.52,53.08,88,711,54
42,01/12/2022,40.95,1.22,78.69,0.26,29,97,19
43,29/12/2022,72.77,39.93,72.15,11.12,63,640,98
44,03/01/2023,95.3,76.58,32.51,51.68,16,679,91
45,03/12/2022,41.76,77.44,64.69,27.34,31,952,94
